co2,regiao
32.45,ABC
32.31,ABC
32.03,ABC
32.45,ABC
32.45,ABC
32.52,ABC
32.38,ABC
32.38,ABC
32.31,ABC
32.59,ABC
32.52,ABC
32.45,ABC
31.83,ABC
32.03,ABC
32.45,ABC
32.31,ABC
32.45,ABC
32.38,ABC
32.52,ABC
32.45,ABC
32.87,ABC
32.59,ABC
33.08,ABC
32.45,ABC
32.31,ABC
32.66,ABC
32.8,ABC
32.52,ABC
32.87,ABC
32.8,ABC
32.45,ABC
32.8,ABC
32.45,ABC
32.45,ABC
32.31,ABC
32.31,ABC
32.31,ABC
32.73,ABC
32.52,ABC
32.03,ABC
32.59,ABC
32.45,ABC
32.31,ABC
32.31,ABC
32.45,ABC
32.87,ABC
32.73,ABC
32.87,ABC
32.87,ABC
32.59,ABC
32.52,ABC
32.59,ABC
32.73,ABC
32.73,ABC
32.45,ABC
33.08,ABC
32.45,ABC
33.01,ABC
32.94,ABC
33.08,ABC
32.8,ABC
32.94,ABC
33.15,ABC
33.44,ABC
33.51,ABC
32.87,ABC
33.08,ABC
33.08,ABC
33.8,ABC
34.31,ABC
33.08,ABC
32.8,ABC
32.73,ABC
32.8,ABC
33.15,ABC
33.58,ABC
33.3,ABC
33.44,ABC
32.8,ABC
32.8,ABC
32.52,ABC
32.8,ABC
32.73,ABC
32.87,ABC
33.01,ABC
32.87,ABC
33.22,ABC
32.24,ABC
32.66,ABC
33.01,ABC
32.73,ABC
32.87,ABC
32.59,ABC
32.59,ABC
32.59,ABC
32.87,ABC
33.51,ABC
32.94,ABC
32.87,ABC
33.01,ABC
33.01,ABC
33.15,ABC
32.59,ABC
33.51,ABC
33.15,ABC
33.08,ABC
33.15,ABC
33.15,ABC
33.44,ABC
33.72,ABC
33.94,ABC
33.65,ABC
34.01,ABC
34.09,ABC
34.45,ABC
33.51,ABC
34.01,ABC
33.51,ABC
32.94,ABC
32.24,ABC
33.51,ABC
33.15,ABC
32.8,ABC
33.44,ABC
33.22,ABC
33.22,ABC
32.94,ABC
33.15,ABC
32.94,ABC
32.73,ABC
32.73,ABC
33.08,ABC
33.15,ABC
32.94,ABC
32.94,ABC
33.01,ABC
33.01,ABC
33.08,ABC
33.01,ABC
32.73,ABC
33.15,ABC
32.94,ABC
33.01,ABC
33.65,ABC
33.44,ABC
33.44,ABC
33.44,ABC
33.44,ABC
33.15,ABC
33.37,ABC
33.72,ABC
33.22,ABC
33.44,ABC
33.15,ABC
33.72,ABC
33.44,ABC
33.44,ABC
33.8,ABC
33.87,ABC
34.01,ABC
34.31,ABC
34.31,ABC
34.38,ABC
34.31,ABC
34.67,ABC
34.45,ABC
34.31,ABC
34.23,ABC
34.16,ABC
34.16,ABC
34.75,ABC
34.97,ABC
35.49,ABC
36.86,ABC
35.49,ABC
36.71,ABC
34.67,ABC
33.51,ABC
33.37,ABC
34.38,ABC
33.58,ABC
33.37,ABC
33.15,ABC
33.8,ABC
33.44,ABC
33.44,ABC
33.58,ABC
34.09,ABC
34.23,ABC
34.45,ABC
33.94,ABC
34.6,ABC
34.82,ABC
34.67,ABC
36.17,ABC
34.75,ABC
33.3,ABC
32.8,ABC
33.15,ABC
33.15,ABC
33.65,ABC
33.08,ABC
34.09,ABC
33.3,ABC
33.58,ABC
33.01,ABC
