date, pm25, pm10, o3, no2, so2, co,latitude,longitude,regiao
2024/6/14, 69, , 24, 19, , 5,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/6/15, 54, , 25, 23, , 9,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/6/16, 72, , 36, 21, , 8,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/6/17, 82, , 25, 20, , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/6/18, 46, , 25, 23, , 6,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/6/19, 46, , 27, 30, , 11,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/6/20, 74, , 33, 29, , 7,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/6/21, 91, , 30, 23, , 5,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/6/22, 84, , 25, 22, , 9,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/6/23, 76, , 30, 18, , 7,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/6/24, 82, , 27, 20, , 5,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/6/25, 70, , 18, 7, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/6/26, 21, , 29, 19, , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/6/27, 57, , 13, 16, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/6/28, 51, , 21, 27, , 7,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/6/29, 82, , 16, 13, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/6/30, 54, , 17, 4, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/7/1, 28, , 13, 13, , 5,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/1/2, 49, , 40, 3, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/1/3, 58, , 32, 4, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/1/4, 37, , 18, 3, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/1/5, 15, , 24, 3, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/1/6, 29, , 22, 2, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/1/7, 30, , 46, 4, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/1/8, 45, , 45, 13, , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/1/9, 55, , 74, 14, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/1/10, 53, , 51, 11, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/1/11, 59, , 36, 13, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/1/12, 36, , 28, 13, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/1/13, 25, , 17, 5, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/1/14, 17, , 42, 9, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/1/15, 47, , 43, 16, , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/1/16, 49, , 41, 12, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/1/17, 37, , 38, 13, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/1/18, 42, , 49, 13, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
