data, pm25, pm10, o3, no2, so2, co,latitude,longitude,regiao
2024/2/21, 32, 16, 23, 10, , 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/2/22, 31, 15, 32, 7, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/2/23, 33, 18, 28, 10, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/2/24, 33, 18, 20, 12, , 5,-23.467295600325237,-46.53206211505543,Guarulhos
2024/2/25, 38, 15, 36, 4, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/2/26, 37, 14, 24, 5, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/2/27, 26, 20, 40, 11, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/2/28, 45, 31, 34, 11, , 6,-23.467295600325237,-46.53206211505543,Guarulhos
2024/2/29, 53, 28, 66, 13, , 6,-23.467295600325237,-46.53206211505543,Guarulhos
2024/3/1, 63, , , , , ,-23.467295600325237,-46.53206211505543,Guarulhos
2023/10/2, 38, 18, , , , ,-23.467295600325237,-46.53206211505543,Guarulhos
2023/10/3, 35, 32, , , , ,-23.467295600325237,-46.53206211505543,Guarulhos
2023/10/4, 60, 29, , , , ,-23.467295600325237,-46.53206211505543,Guarulhos
2023/10/5, 54, 24, , 11, , ,-23.467295600325237,-46.53206211505543,Guarulhos
2023/10/6, 42, 29, , 15, , ,-23.467295600325237,-46.53206211505543,Guarulhos
2023/10/7, 56, 26, , 8, , ,-23.467295600325237,-46.53206211505543,Guarulhos
2023/10/8, 53, 12, , 6, , ,-23.467295600325237,-46.53206211505543,Guarulhos
2023/10/9, 26, 15, , 11, , ,-23.467295600325237,-46.53206211505543,Guarulhos
2023/10/10, 30, 12, , 6, , ,-23.467295600325237,-46.53206211505543,Guarulhos
2023/10/11, 24, 27, 41, 15, , 5,-23.467295600325237,-46.53206211505543,Guarulhos
2023/10/12, 48, 35, 30, 15, , 7,-23.467295600325237,-46.53206211505543,Guarulhos
2023/10/13, 70, 11, 25, 8, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2023/10/14, 14, 10, 24, 4, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2023/10/15, 17, 16, 31, 5, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2023/10/16, 38, 20, 37, 9, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2023/10/17, 37, 15, 26, 13, , 4,-23.467295600325237,-46.53206211505543,Guarulhos
2023/10/18, 33, 16, 30, 10, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2023/10/19, 35, 10, 26, 5, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2023/10/20, 19, 11, 22, 7, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2023/10/21, 25, 12, 24, 5, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2023/10/22, 21, 14, 33, 3, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
